,mean,std,params
0,1.0,0.0,"{'C': 0.0001, 'gamma': 0.0001}"
5,1.0,0.0,"{'C': 0.0001, 'gamma': 0.3}"
1,1.0,0.0,"{'C': 0.0001, 'gamma': 0.001}"
2,1.0,0.0,"{'C': 0.0001, 'gamma': 0.01}"
3,1.0,0.0,"{'C': 0.0001, 'gamma': 0.03}"
4,1.0,0.0,"{'C': 0.0001, 'gamma': 0.1}"
6,1.0,0.0,"{'C': 0.0001, 'gamma': 1}"
7,1.0,0.0,"{'C': 0.0001, 'gamma': 3}"
8,1.0,0.0,"{'C': 0.0001, 'gamma': 10}"
9,1.0,0.0,"{'C': 0.0001, 'gamma': 100}"
10,1.0,0.0,"{'C': 0.0001, 'gamma': 1000}"
11,1.0,0.0,"{'C': 0.001, 'gamma': 0.0001}"
12,1.0,0.0,"{'C': 0.001, 'gamma': 0.001}"
13,1.0,0.0,"{'C': 0.001, 'gamma': 0.01}"
14,1.0,0.0,"{'C': 0.001, 'gamma': 0.03}"
15,1.0,0.0,"{'C': 0.001, 'gamma': 0.1}"
17,1.0,0.0,"{'C': 0.001, 'gamma': 1}"
31,1.0,0.0,"{'C': 0.01, 'gamma': 100}"
16,1.0,0.0,"{'C': 0.001, 'gamma': 0.3}"
29,1.0,0.0,"{'C': 0.01, 'gamma': 3}"
28,1.0,0.0,"{'C': 0.01, 'gamma': 1}"
26,1.0,0.0,"{'C': 0.01, 'gamma': 0.1}"
25,1.0,0.0,"{'C': 0.01, 'gamma': 0.03}"
24,1.0,0.0,"{'C': 0.01, 'gamma': 0.01}"
27,1.0,0.0,"{'C': 0.01, 'gamma': 0.3}"
22,1.0,0.0,"{'C': 0.01, 'gamma': 0.0001}"
35,1.0,0.0,"{'C': 0.03, 'gamma': 0.01}"
23,1.0,0.0,"{'C': 0.01, 'gamma': 0.001}"
19,1.0,0.0,"{'C': 0.001, 'gamma': 10}"
20,1.0,0.0,"{'C': 0.001, 'gamma': 100}"
30,1.0,0.0,"{'C': 0.01, 'gamma': 10}"
21,1.0,0.0,"{'C': 0.001, 'gamma': 1000}"
32,1.0,0.0,"{'C': 0.01, 'gamma': 1000}"
18,1.0,0.0,"{'C': 0.001, 'gamma': 3}"
60,1.0,0.0,"{'C': 0.3, 'gamma': 0.3}"
49,1.0,0.0,"{'C': 0.1, 'gamma': 0.3}"
33,1.0,0.0,"{'C': 0.03, 'gamma': 0.0001}"
36,1.0,0.0,"{'C': 0.03, 'gamma': 0.03}"
37,1.0,0.0,"{'C': 0.03, 'gamma': 0.1}"
38,1.0,0.0,"{'C': 0.03, 'gamma': 0.3}"
39,1.0,0.0,"{'C': 0.03, 'gamma': 1}"
41,1.0,0.0,"{'C': 0.03, 'gamma': 10}"
42,1.0,0.0,"{'C': 0.03, 'gamma': 100}"
43,1.0,0.0,"{'C': 0.03, 'gamma': 1000}"
44,1.0,0.0,"{'C': 0.1, 'gamma': 0.0001}"
45,1.0,0.0,"{'C': 0.1, 'gamma': 0.001}"
46,1.0,0.0,"{'C': 0.1, 'gamma': 0.01}"
47,1.0,0.0,"{'C': 0.1, 'gamma': 0.03}"
48,1.0,0.0,"{'C': 0.1, 'gamma': 0.1}"
34,1.0,0.0,"{'C': 0.03, 'gamma': 0.001}"
40,1.0,0.0,"{'C': 0.03, 'gamma': 3}"
51,1.0,0.0,"{'C': 0.1, 'gamma': 3}"
59,1.0,0.0,"{'C': 0.3, 'gamma': 0.1}"
52,1.0,0.0,"{'C': 0.1, 'gamma': 10}"
65,1.0,0.0,"{'C': 0.3, 'gamma': 1000}"
64,1.0,0.0,"{'C': 0.3, 'gamma': 100}"
62,1.0,0.0,"{'C': 0.3, 'gamma': 3}"
61,1.0,0.0,"{'C': 0.3, 'gamma': 1}"
63,1.0,0.0,"{'C': 0.3, 'gamma': 10}"
58,1.0,0.0,"{'C': 0.3, 'gamma': 0.03}"
55,1.0,0.0,"{'C': 0.3, 'gamma': 0.0001}"
53,1.0,0.0,"{'C': 0.1, 'gamma': 100}"
57,1.0,0.0,"{'C': 0.3, 'gamma': 0.01}"
54,1.0,0.0,"{'C': 0.1, 'gamma': 1000}"
50,1.0,0.0,"{'C': 0.1, 'gamma': 1}"
56,1.0,0.0,"{'C': 0.3, 'gamma': 0.001}"
71,0.9945575712699,0.010885172279836776,"{'C': 1, 'gamma': 0.3}"
69,0.9945575712699,0.010885172279836776,"{'C': 1, 'gamma': 0.03}"
73,0.9945575712699,0.010885172279836776,"{'C': 1, 'gamma': 3}"
76,0.9945575712699,0.010885172279836776,"{'C': 1, 'gamma': 1000}"
74,0.9945575712699,0.010885172279836776,"{'C': 1, 'gamma': 10}"
75,0.9945575712699,0.010885172279836776,"{'C': 1, 'gamma': 100}"
90,0.9945575712699,0.010885172279836776,"{'C': 10, 'gamma': 0.01}"
68,0.9945575712699,0.010885172279836776,"{'C': 1, 'gamma': 0.01}"
79,0.9945575712699,0.010885172279836776,"{'C': 3, 'gamma': 0.01}"
72,0.9945575712699,0.010885172279836776,"{'C': 1, 'gamma': 1}"
87,0.9945575712699,0.010885172279836776,"{'C': 3, 'gamma': 1000}"
80,0.9945575712699,0.010885172279836776,"{'C': 3, 'gamma': 0.03}"
82,0.9945575712699,0.010885172279836776,"{'C': 3, 'gamma': 0.3}"
83,0.9945575712699,0.010885172279836776,"{'C': 3, 'gamma': 1}"
84,0.9945575712699,0.010885172279836776,"{'C': 3, 'gamma': 3}"
85,0.9945575712699,0.010885172279836776,"{'C': 3, 'gamma': 10}"
86,0.9945575712699,0.010885172279836776,"{'C': 3, 'gamma': 100}"
119,0.9945575712699,0.010885172279836776,"{'C': 1000, 'gamma': 100}"
81,0.9945575712699,0.010885172279836776,"{'C': 3, 'gamma': 0.1}"
70,0.9945575712699,0.010885172279836776,"{'C': 1, 'gamma': 0.1}"
91,0.9945575712699,0.010885172279836776,"{'C': 10, 'gamma': 0.03}"
120,0.9945575712699,0.010885172279836776,"{'C': 1000, 'gamma': 1000}"
106,0.9945575712699,0.010885172279836776,"{'C': 100, 'gamma': 3}"
105,0.9945575712699,0.010885172279836776,"{'C': 100, 'gamma': 1}"
96,0.9945575712699,0.010885172279836776,"{'C': 10, 'gamma': 10}"
95,0.9945575712699,0.010885172279836776,"{'C': 10, 'gamma': 3}"
94,0.9945575712699,0.010885172279836776,"{'C': 10, 'gamma': 1}"
97,0.9945575712699,0.010885172279836776,"{'C': 10, 'gamma': 100}"
98,0.9945575712699,0.010885172279836776,"{'C': 10, 'gamma': 1000}"
93,0.9945575712699,0.010885172279836776,"{'C': 10, 'gamma': 0.3}"
118,0.9945575712699,0.010885172279836776,"{'C': 1000, 'gamma': 10}"
102,0.9945575712699,0.010885172279836776,"{'C': 100, 'gamma': 0.03}"
103,0.9945575712699,0.010885172279836776,"{'C': 100, 'gamma': 0.1}"
104,0.9945575712699,0.010885172279836776,"{'C': 100, 'gamma': 0.3}"
101,0.9945575712699,0.010885172279836776,"{'C': 100, 'gamma': 0.01}"
113,0.9945575712699,0.010885172279836776,"{'C': 1000, 'gamma': 0.03}"
108,0.9945575712699,0.010885172279836776,"{'C': 100, 'gamma': 100}"
109,0.9945575712699,0.010885172279836776,"{'C': 100, 'gamma': 1000}"
112,0.9945575712699,0.010885172279836776,"{'C': 1000, 'gamma': 0.01}"
