,mean,std,params
0,1.0,0.0,"{'C': 0.0001, 'gamma': 0.0001}"
9,1.0,0.0,"{'C': 0.0001, 'gamma': 100}"
16,1.0,0.0,"{'C': 0.001, 'gamma': 0.3}"
14,1.0,0.0,"{'C': 0.001, 'gamma': 0.03}"
13,1.0,0.0,"{'C': 0.001, 'gamma': 0.01}"
12,1.0,0.0,"{'C': 0.001, 'gamma': 0.001}"
11,1.0,0.0,"{'C': 0.001, 'gamma': 0.0001}"
10,1.0,0.0,"{'C': 0.0001, 'gamma': 1000}"
8,1.0,0.0,"{'C': 0.0001, 'gamma': 10}"
32,1.0,0.0,"{'C': 0.01, 'gamma': 1000}"
7,1.0,0.0,"{'C': 0.0001, 'gamma': 3}"
6,1.0,0.0,"{'C': 0.0001, 'gamma': 1}"
5,1.0,0.0,"{'C': 0.0001, 'gamma': 0.3}"
4,1.0,0.0,"{'C': 0.0001, 'gamma': 0.1}"
3,1.0,0.0,"{'C': 0.0001, 'gamma': 0.03}"
2,1.0,0.0,"{'C': 0.0001, 'gamma': 0.01}"
15,1.0,0.0,"{'C': 0.001, 'gamma': 0.1}"
33,1.0,0.0,"{'C': 0.03, 'gamma': 0.0001}"
30,1.0,0.0,"{'C': 0.01, 'gamma': 10}"
29,1.0,0.0,"{'C': 0.01, 'gamma': 3}"
28,1.0,0.0,"{'C': 0.01, 'gamma': 1}"
27,1.0,0.0,"{'C': 0.01, 'gamma': 0.3}"
26,1.0,0.0,"{'C': 0.01, 'gamma': 0.1}"
17,1.0,0.0,"{'C': 0.001, 'gamma': 1}"
31,1.0,0.0,"{'C': 0.01, 'gamma': 100}"
25,1.0,0.0,"{'C': 0.01, 'gamma': 0.03}"
36,1.0,0.0,"{'C': 0.03, 'gamma': 0.03}"
22,1.0,0.0,"{'C': 0.01, 'gamma': 0.0001}"
21,1.0,0.0,"{'C': 0.001, 'gamma': 1000}"
20,1.0,0.0,"{'C': 0.001, 'gamma': 100}"
19,1.0,0.0,"{'C': 0.001, 'gamma': 10}"
18,1.0,0.0,"{'C': 0.001, 'gamma': 3}"
24,1.0,0.0,"{'C': 0.01, 'gamma': 0.01}"
1,1.0,0.0,"{'C': 0.0001, 'gamma': 0.001}"
23,1.0,0.0,"{'C': 0.01, 'gamma': 0.001}"
60,1.0,0.0,"{'C': 0.3, 'gamma': 0.3}"
50,1.0,0.0,"{'C': 0.1, 'gamma': 1}"
34,1.0,0.0,"{'C': 0.03, 'gamma': 0.001}"
38,1.0,0.0,"{'C': 0.03, 'gamma': 0.3}"
39,1.0,0.0,"{'C': 0.03, 'gamma': 1}"
40,1.0,0.0,"{'C': 0.03, 'gamma': 3}"
41,1.0,0.0,"{'C': 0.03, 'gamma': 10}"
42,1.0,0.0,"{'C': 0.03, 'gamma': 100}"
43,1.0,0.0,"{'C': 0.03, 'gamma': 1000}"
44,1.0,0.0,"{'C': 0.1, 'gamma': 0.0001}"
45,1.0,0.0,"{'C': 0.1, 'gamma': 0.001}"
46,1.0,0.0,"{'C': 0.1, 'gamma': 0.01}"
47,1.0,0.0,"{'C': 0.1, 'gamma': 0.03}"
48,1.0,0.0,"{'C': 0.1, 'gamma': 0.1}"
49,1.0,0.0,"{'C': 0.1, 'gamma': 0.3}"
35,1.0,0.0,"{'C': 0.03, 'gamma': 0.01}"
37,1.0,0.0,"{'C': 0.03, 'gamma': 0.1}"
52,1.0,0.0,"{'C': 0.1, 'gamma': 10}"
61,1.0,0.0,"{'C': 0.3, 'gamma': 1}"
51,1.0,0.0,"{'C': 0.1, 'gamma': 3}"
66,1.0,0.0,"{'C': 1, 'gamma': 0.0001}"
65,1.0,0.0,"{'C': 0.3, 'gamma': 1000}"
63,1.0,0.0,"{'C': 0.3, 'gamma': 10}"
62,1.0,0.0,"{'C': 0.3, 'gamma': 3}"
64,1.0,0.0,"{'C': 0.3, 'gamma': 100}"
59,1.0,0.0,"{'C': 0.3, 'gamma': 0.1}"
58,1.0,0.0,"{'C': 0.3, 'gamma': 0.03}"
57,1.0,0.0,"{'C': 0.3, 'gamma': 0.01}"
56,1.0,0.0,"{'C': 0.3, 'gamma': 0.001}"
55,1.0,0.0,"{'C': 0.3, 'gamma': 0.0001}"
54,1.0,0.0,"{'C': 0.1, 'gamma': 1000}"
53,1.0,0.0,"{'C': 0.1, 'gamma': 100}"
67,0.9917417417417418,0.012616187109669668,"{'C': 1, 'gamma': 0.001}"
78,0.989039039039039,0.013426479823488373,"{'C': 3, 'gamma': 0.001}"
89,0.989039039039039,0.013426479823488373,"{'C': 10, 'gamma': 0.001}"
77,0.989039039039039,0.013426479823488373,"{'C': 3, 'gamma': 0.0001}"
68,0.989039039039039,0.013426479823488373,"{'C': 1, 'gamma': 0.01}"
88,0.9808558558558559,0.017414342951185456,"{'C': 10, 'gamma': 0.0001}"
99,0.9781531531531533,0.01629475060489279,"{'C': 100, 'gamma': 0.0001}"
79,0.9673423423423422,0.05376156476877255,"{'C': 3, 'gamma': 0.01}"
69,0.9673423423423422,0.05376156476877255,"{'C': 1, 'gamma': 0.03}"
100,0.9565315315315315,0.06180958788800175,"{'C': 100, 'gamma': 0.001}"
85,0.9565315315315315,0.056886351640344224,"{'C': 3, 'gamma': 10}"
74,0.9565315315315315,0.056886351640344224,"{'C': 1, 'gamma': 10}"
75,0.9565315315315315,0.056886351640344224,"{'C': 1, 'gamma': 100}"
76,0.9565315315315315,0.056886351640344224,"{'C': 1, 'gamma': 1000}"
80,0.9565315315315315,0.056886351640344224,"{'C': 3, 'gamma': 0.03}"
81,0.9565315315315315,0.056886351640344224,"{'C': 3, 'gamma': 0.1}"
82,0.9565315315315315,0.056886351640344224,"{'C': 3, 'gamma': 0.3}"
70,0.9565315315315315,0.056886351640344224,"{'C': 1, 'gamma': 0.1}"
83,0.9565315315315315,0.056886351640344224,"{'C': 3, 'gamma': 1}"
86,0.9565315315315315,0.056886351640344224,"{'C': 3, 'gamma': 100}"
120,0.9565315315315315,0.056886351640344224,"{'C': 1000, 'gamma': 1000}"
87,0.9565315315315315,0.056886351640344224,"{'C': 3, 'gamma': 1000}"
119,0.9565315315315315,0.056886351640344224,"{'C': 1000, 'gamma': 100}"
90,0.9565315315315315,0.056886351640344224,"{'C': 10, 'gamma': 0.01}"
91,0.9565315315315315,0.056886351640344224,"{'C': 10, 'gamma': 0.03}"
92,0.9565315315315315,0.056886351640344224,"{'C': 10, 'gamma': 0.1}"
93,0.9565315315315315,0.056886351640344224,"{'C': 10, 'gamma': 0.3}"
84,0.9565315315315315,0.056886351640344224,"{'C': 3, 'gamma': 3}"
72,0.9565315315315315,0.056886351640344224,"{'C': 1, 'gamma': 1}"
73,0.9565315315315315,0.056886351640344224,"{'C': 1, 'gamma': 3}"
101,0.9565315315315315,0.056886351640344224,"{'C': 100, 'gamma': 0.01}"
94,0.9565315315315315,0.056886351640344224,"{'C': 10, 'gamma': 1}"
95,0.9565315315315315,0.056886351640344224,"{'C': 10, 'gamma': 3}"
71,0.9565315315315315,0.056886351640344224,"{'C': 1, 'gamma': 0.3}"
98,0.9565315315315315,0.056886351640344224,"{'C': 10, 'gamma': 1000}"
102,0.9565315315315315,0.056886351640344224,"{'C': 100, 'gamma': 0.03}"
103,0.9565315315315315,0.056886351640344224,"{'C': 100, 'gamma': 0.1}"
104,0.9565315315315315,0.056886351640344224,"{'C': 100, 'gamma': 0.3}"
105,0.9565315315315315,0.056886351640344224,"{'C': 100, 'gamma': 1}"
106,0.9565315315315315,0.056886351640344224,"{'C': 100, 'gamma': 3}"
108,0.9565315315315315,0.056886351640344224,"{'C': 100, 'gamma': 100}"
97,0.9565315315315315,0.056886351640344224,"{'C': 10, 'gamma': 100}"
109,0.9565315315315315,0.056886351640344224,"{'C': 100, 'gamma': 1000}"
112,0.9565315315315315,0.056886351640344224,"{'C': 1000, 'gamma': 0.01}"
113,0.9565315315315315,0.056886351640344224,"{'C': 1000, 'gamma': 0.03}"
114,0.9565315315315315,0.056886351640344224,"{'C': 1000, 'gamma': 0.1}"
115,0.9565315315315315,0.056886351640344224,"{'C': 1000, 'gamma': 0.3}"
116,0.9565315315315315,0.056886351640344224,"{'C': 1000, 'gamma': 1}"
117,0.9565315315315315,0.056886351640344224,"{'C': 1000, 'gamma': 3}"
118,0.9565315315315315,0.056886351640344224,"{'C': 1000, 'gamma': 10}"
107,0.9565315315315315,0.056886351640344224,"{'C': 100, 'gamma': 10}"
96,0.9565315315315315,0.056886351640344224,"{'C': 10, 'gamma': 10}"
111,0.9538288288288289,0.06042517585868681,"{'C': 1000, 'gamma': 0.001}"
110,0.9428678678678679,0.06334614890763507,"{'C': 1000, 'gamma': 0.0001}"
